Точка маршрута,Рейс 1,Рейс 2,Рейс 3,Рейс 4
28-29-Я ЛИНИИ,07:13:20,07:27:50,07:42:10,07:57:10
22-23-Я ЛИНИИ,07:14:10,07:28:40,07:43:00,07:58:00
МУЗЕЙ ГОРОДСКОГО ТРАНСПОРТА,07:16:30,07:30:40,07:45:50,08:00:30
12-13-Я ЛИНИИ,07:18:30,07:32:50,07:47:50,08:02:10
"МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",07:20:40,07:35:40,07:50:00,08:04:40
1-Я И КАДЕТСКАЯ ЛИНИИ,07:21:40,07:36:50,07:51:00,00:00:00
"1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""",07:23:20,07:38:30,07:52:10,00:00:00
"МЕТРО ""СПОРТИВНАЯ""",07:24:30,07:40:00,07:53:40,00:00:00
КРОНВЕРКСКИЙ ПРОСПЕКТ,07:25:40,07:41:10,07:55:10,00:00:00
ЗВЕРИНСКАЯ УЛ.,07:27:00,07:42:40,07:56:30,00:00:00
ВВЕДЕНСКАЯ УЛ.,07:28:40,07:44:00,07:57:40,08:13:00
СЫТНЫЙ РЫНОК,07:30:20,07:45:30,07:58:40,08:14:20
"МЕТРО ""ГОРЬКОВСКАЯ""",07:31:30,07:46:40,08:00:00,08:15:40
ТРОИЦКАЯ ПЛ. П.С.,07:33:10,07:48:20,08:01:40,08:17:20
УЛИЦА ЧАПАЕВА,07:34:20,07:49:20,08:02:50,08:18:20
